date,lat,long
2019-06,42.95750301464003,-87.93836739674397
2016-10,42.8992587,-88.0470983
2011-08,42.92161404495541,-87.88102546135188
2018-09,43.05012250060103,-88.04026273617674
2019-05,42.9592887,-88.0260425
2011-09,42.8621141,-87.9362415
2018-11,43.04884757883244,-87.9245939553723
2016-11,43.1285306524871,-87.96241682830178
2015-10,43.12732110647131,-87.96360220412932
2017-08,43.1177118903821,-87.96767281141888
2019-06,43.0210317431246,-88.04699802756616
2016-11,43.0906433,-87.9525005
2016-10,43.09053471452277,-87.94945675000662
2018-10,43.0358893,-87.9175201
2011-08,42.9215692203945,-87.8798544943075
2018-10,43.03588206825548,-87.91600042942895
2018-10,43.0359293,-87.9189983
2016-10,42.9861942,-88.068415
2011-07,42.99865438597084,-88.03093580703558
2011-07,42.997231,-88.030781
2018-11,43.0306909683937,-87.93307514997798
2018-11,43.03069398721156,-87.93054058864604
2016-10,42.99920835464818,-88.00402166483337
2017-08,43.0152486,-88.0344381
2017-08,43.0157192,-88.0344648
2011-08,42.919803,-87.8784766
2018-08,42.98348026025788,-88.04882090454535
2012-08,42.98215133148419,-88.05356956585032
2018-08,42.9880367,-88.0550429
2018-08,42.99544435236831,-87.95884558058422
2015-10,42.99122363478305,-87.95679456503818
2019-06,42.96267784319716,-87.9348272122674
2019-06,42.9593469,-87.9350413
2019-06,42.95205240127029,-87.9352568952452
2017-09,42.98185670119954,-87.9174221833781
2019-06,42.9458239945779,-87.91461291974446
2011-08,42.9197807,-87.8757935
2017-10,43.0300299068402,-87.98656548328589
2015-10,43.0499545,-87.9323791
2018-10,43.04857155102637,-87.93273645547875
2015-10,43.12698667090918,-87.96477698533198
2015-10,43.12797995767315,-87.96360870971095
2017-08,43.0430284,-87.8967501
2016-11,43.04373440030351,-87.89674430287016
2015-11,43.03552621361518,-87.91608073582945
2015-10,43.02788824711043,-87.97879646085835
2018-09,42.9171041,-87.8712516
2015-10,43.02788824711043,-87.97879646085835
2017-08,43.03582689664243,-87.9036557934165
2018-10,43.03567267705021,-87.90618012743587
2015-10,43.15876760871264,-87.95716352610253
2016-10,43.03380848434007,-87.92268299273292
2018-11,43.13069678366931,-88.02623030844458
2018-11,43.11531453882814,-88.00652584707974
2018-10,43.0485142,-87.926579
2015-11,43.02929606935392,-87.9864373763503
2018-08,43.08289297554877,-87.91980354780571
2011-08,42.91716023767347,-87.87286477998096
2019-06,42.95205206878384,-87.9351340254087
2016-11,43.12887991785438,-87.95666493623943
2016-10,42.95386887188391,-87.87750054774888
2015-10,43.15380442502173,-87.93317343922263
2015-10,43.1529983,-87.9337378
2015-10,43.14682637356233,-87.93338195261899
2015-10,43.14676219926755,-87.93210307273368
2007-07,42.88343637003145,-88.0350278284933
2007-07,42.9070246,-88.0368754
2018-08,43.10409270313306,-87.91896276073378
2011-08,42.92909745135861,-87.86945277324038
2011-09,42.9131381,-87.9553425
2007-08,42.8844226,-88.0209661
2018-09,42.87756193958392,-88.00027196782261
2011-09,42.94006383424451,-87.99109820654567
2019-05,42.93034431258754,-87.99090244896865
2019-06,42.9423608,-87.9923022
2017-09,42.9444272,-87.9941468
2019-05,42.94010558748499,-87.99277025303084
2011-09,42.92637067458246,-87.98466153765224
2011-10,42.96753304731716,-88.06395873764737
2011-08,42.92723692527301,-87.86955677125789
2011-08,42.96716405758536,-88.06574109152092
2011-08,42.95307325521166,-87.97980924149888
2017-08,42.96641486642503,-88.03931323081227
2011-09,42.9330687,-88.0543274
2011-09,42.9317634,-88.0589043
2011-09,42.9317935,-88.0568948
2019-05,42.96198471474136,-88.01177669777393
2018-09,43.05356093294137,-87.97171438137643
2011-08,42.92655712255118,-87.8696500217885
2015-10,43.0458692763175,-87.97470004067239
2011-07,42.97862078636385,-88.04198723863135
2018-08,43.03320385805375,-87.97061347994901
2015-10,43.0338085,-87.9684649
2011-08,42.9533748,-87.9726902
2018-11,43.03092141472835,-87.9786986542446
2011-10,43.03060633767141,-87.98048006711474
2017-08,43.14793367347799,-88.05797639871788
2015-07,42.88619383497856,-87.86719534409347
2011-08,42.8986568,-87.8521871
2018-09,43.1749368,-88.010393
2011-09,42.88006879959794,-87.85324936728935
2011-09,42.87818,-87.853322
2011-09,42.88051686053598,-87.8531809825175
2011-09,42.87902861079612,-87.85326304971633
2011-09,42.8798214,-87.8532105
2011-08,42.9059802,-87.8518217
2011-08,42.9016037,-87.8520323
2011-08,42.90335231653018,-87.85195613411301
2011-08,42.8971488,-87.8522674
2011-08,42.9104119,-87.8516589
2011-06,42.9504403,-87.9542707
2011-08,42.90615197247676,-87.86298068931521
2011-08,42.9086705,-87.8516859
2011-08,42.90686272723628,-87.85177471712313
2011-09,42.88093294596334,-87.85315425111874
2011-08,42.9051148,-87.851862
2011-08,42.9095669,-87.8516459
2011-08,42.8969516,-87.8522777
2011-08,42.90422009807574,-87.85190409819353
2011-08,42.90245328442251,-87.85198924995849
2011-08,42.89838726017196,-87.85220314727533
2011-09,42.88593984258243,-87.85292918659691
2011-08,42.9052845,-87.8630887
2019-06,42.87147002381289,-87.8535369342512
2011-08,42.9077414,-87.8517338
2011-08,42.8995286,-87.852138
2011-08,42.89522888904803,-87.85238446129576
2019-06,42.91629771737765,-87.93656008407203
2018-09,43.1830491779928,-88.01559124586336
2011-09,42.9202668,-87.9266357
2016-10,42.88757332726901,-87.89986646088425
2016-10,42.88707205585067,-87.89809182049297
2007-07,42.8770217729917,-87.94767238058782
2016-11,42.9069935,-87.8629578
2011-09,42.89105428655424,-87.88188065333333
