OBJECTID,FID_OutputLines,FID_Intersections
413,7093,1705
414,7093,1706
415,7100,1917
416,7100,1918
417,7102,1357
418,7102,1358
419,7105,1361
420,7105,1362
421,7116,2079
422,7116,2080
423,7128,2757
424,7128,2758
425,7149,847
426,7149,848
427,7164,685
428,7164,686
429,7165,1271
430,7165,1272
431,7168,1565
432,7168,1566
433,7173,1561
434,7173,1562
435,7225,2037
436,7225,2038
437,7238,1851
438,7238,1852
439,7241,1389
440,7241,1390
441,7244,1733
442,7244,1734
443,7251,1145
444,7251,1146
445,7257,1137
446,7257,1138
447,7258,2233
448,7258,2234
449,7302,1701
450,7302,1702
451,7310,1083
452,7310,1084
453,7324,1489
454,7324,1490
455,7343,857
456,7343,858
457,7351,2089
458,7351,2090
459,7363,1895
460,7363,1896
461,7400,1493
462,7400,1494
463,7419,1349
464,7419,1350
465,7467,1521
466,7467,1522
467,7498,2747
468,7498,2748
469,7553,2329
470,7553,2330
471,7609,1153
472,7609,1154
473,7610,1713
474,7610,1714
475,7657,2117
476,7657,2118
477,7710,2131
478,7710,2132
479,7750,2311
480,7750,2312
481,7768,2807
482,7768,2808
483,7774,1567
484,7774,1568
485,7781,955
486,7781,956
487,7872,1627
488,7872,1628
489,7873,2231
490,7873,2232
491,7876,1437
492,7876,1438
493,7902,1617
494,7902,1618
495,7951,1919
496,7951,1920
497,7952,1081
498,7952,1082
499,7961,1947
500,7961,1948
501,7972,2245
502,7972,2246
503,7992,1517
504,7992,1518
505,8001,2259
506,8001,2260
507,8003,1151
508,8003,1152
509,8030,1173
510,8030,1174
511,8031,1707
512,8031,1708
513,8063,885
514,8063,886
515,8083,861
516,8083,862
517,8093,2107
518,8093,2108
519,8097,1853
520,8097,1854
521,8101,1761
522,8101,1762
523,8139,1431
524,8139,1432
525,8194,2123
526,8194,2124
527,8235,2811
528,8235,2812
529,8315,913
530,8315,914
531,8317,2151
532,8317,2152
533,8447,1875
534,8447,1876
535,8450,1041
536,8450,1042
537,8495,1643
538,8495,1644
539,8497,1451
540,8497,1452
541,8499,1385
542,8499,1386
543,8507,1273
544,8507,1274
545,8517,2823
546,8517,2824
547,8518,2241
548,8518,2242
549,8526,2273
550,8526,2274
551,8527,923
552,8527,924
553,8572,1325
554,8572,1326
555,8579,1497
556,8579,1498
557,8630,883
558,8630,884
559,8643,1121
560,8643,1122
561,8644,2105
562,8644,2106
563,8864,2165
564,8864,2166
565,8920,1525
566,8920,1526
567,8924,2295
568,8924,2296
569,8939,1193
570,8939,1194
571,8940,1887
572,8940,1888
573,8964,2127
574,8964,2128
575,8981,1371
576,8981,1372
577,8984,2143
578,8984,2144
579,9007,803
580,9007,804
581,9075,2735
582,9075,2736
583,9536,1645
