OBJECTID,Road_OBJECTID,LINEARID,Long,Lat
20451,19709,110459346160,-88.018252,43.141515
20452,17126,1104487269381,-88.043561,43.097035
20453,17131,1104487269381,-88.043561,43.097035
20454,34159,1102213925818,-88.043561,43.097035
20455,17128,1104487269381,-88.053247,43.096736
20456,17129,1104487269381,-88.053247,43.096736
20457,30203,110459342125,-88.053247,43.096736
20458,17130,1104487269381,-88.044697,43.097051
20459,17131,1104487269381,-88.044697,43.097051
20460,35116,110459339246,-88.044697,43.097051
20461,17130,1104487269381,-88.045885,43.097115
20462,17133,1104487269381,-88.045885,43.097115
20463,32201,110459339268,-88.045885,43.097115
20464,17132,1104487269381,-88.047033,43.097115
20465,17133,1104487269381,-88.047033,43.097115
20466,33177,110459339284,-88.047033,43.097115
20467,17132,1104487269381,-88.048137,43.097078
20468,17135,1104487269381,-88.048137,43.097078
20469,30206,110459339297,-88.048137,43.097078
20470,17134,1104487269381,-88.049311,43.097043
20471,17135,1104487269381,-88.049311,43.097043
20472,32200,1102213796491,-88.049311,43.097043
20473,17136,110459338695,-88.051269,43.092938
20474,17138,110459338695,-88.051269,43.092938
20475,37309,110459339314,-88.051269,43.092938
20476,17136,110459338695,-88.050062,43.093236
20477,34153,110459342940,-88.050062,43.093236
20478,34155,110459342940,-88.050062,43.093236
20479,17137,110459338695,-88.051808,43.093054
20480,17138,110459338695,-88.051808,43.093054
20481,30204,1103716903350,-88.051808,43.093054
20482,17137,110459338695,-88.052396,43.092684
20483,17139,110459338695,-88.052396,43.092684
20484,33327,110459339330,-88.052396,43.092684
20485,17139,110459338695,-88.054052,43.092698
20486,34170,1102213789220,-88.054052,43.092698
20487,34174,1102213789220,-88.054052,43.092698
20488,17143,110459342931,-88.053796,43.056519
20489,17144,110459342931,-88.053796,43.056519
20490,33319,110459339369,-88.053796,43.056519
20491,17144,110459342931,-88.055046,43.05624
20492,17147,110459342931,-88.055046,43.05624
20493,32208,110459339389,-88.055046,43.05624
20494,17147,110459342931,-88.056237,43.056165
20495,17148,110459342931,-88.056237,43.056165
20496,32203,110459339404,-88.056237,43.056165
20497,17154,110459347085,-88.045469,43.079466
20498,33210,1102968800421,-88.045469,43.079466
20499,33211,1102968800421,-88.045469,43.079466
20500,17165,110459338531,-88.020702,43.077033
20501,17169,110459338531,-88.020702,43.077033
20502,36610,110459338172,-88.020702,43.077033
20503,17167,110459338531,-88.018818,43.077058
20504,17170,110459338531,-88.018818,43.077058
