OBJECTID,LINEARID,FULLNAME,RTTYP,MTFCC,LatStart,LongStart,LatEnd,LongEnd,SegLength,Shape_Length
49,110459341099,Carter Cir W,M,S1400,42.912055,-88.007871,42.911652,-88.007833,49.07807939,0.000404787
50,110459348183,King Arthurs Ct W,M,S1740,42.95169,-87.954292,42.951669,-87.955394,98.9628868,0.000750686
51,110459348183,King Arthurs Ct W,M,S1740,42.95169,-87.954292,42.951669,-87.955394,98.9628868,0.000355057
52,110459347923,Beacon Hill Ct W,M,S1400,42.899255,-88.04712,42.898239,-88.047092,123.8608667,0.001022447
53,110459347614,Canterbury Rd W,M,S1740,42.950456,-87.954261,42.950091,-87.957342,287.2706533,0.00078753
54,110459347614,Canterbury Rd W,M,S1740,42.950456,-87.954261,42.950091,-87.957342,287.2706533,0.000982396
55,110459347614,Canterbury Rd W,M,S1740,42.950456,-87.954261,42.950091,-87.957342,287.2706533,0.001388142
56,1103645334090,S Cordgrass Cir W,M,S1400,42.880567,-88.032185,42.882823,-88.034863,458.1755719,0.004271025
57,1103645334090,S Cordgrass Cir W,M,S1400,42.880567,-88.032185,42.882823,-88.034863,458.1755719,5.6089E-05
58,1104473756919,Sycamore Ct,M,S1400,43.182748,-87.916863,43.183131,-87.917247,57.71426744,0.000542351
59,110459348784, , ,S1400,43.189625,-87.90805,43.189751,-87.90843,37.09388262,0.000400381
60,1103690289373,Brandybrook Trl,M,S1400,43.181786,-87.991417,43.181786,-87.991417,884.8365908,0.008335816
61,1105061265996,55089,M,S1400,43.192487,-87.973742,43.19246,-87.969145,408.665361,0.002035037
62,1105061265996,55089,M,S1400,43.192487,-87.973742,43.19246,-87.969145,408.665361,0.000111004
63,1105061265996,55089,M,S1400,43.192487,-87.973742,43.19246,-87.969145,408.665361,0.002451042
64,1102209739831, , ,S1740,43.17958,-87.970453,43.179828,-87.96938,100.0494731,0.001101287
65,1102647288291,Service Rd,M,S1640,43.170411,-87.975189,43.176606,-87.974994,752.8672138,0.002880471
66,1102647288291,Service Rd,M,S1640,43.170411,-87.975189,43.176606,-87.974994,752.8672138,0.003317599
67,110459348902, , ,S1400,43.170708,-87.969987,43.170695,-87.969003,87.51849598,0.000984088
68,1104492608585, , ,S1630,43.176189,-87.961922,43.177837,-87.96233,203.6715071,0.001700482
69,1103648816434,Walnut Ln,M,S1400,42.930066,-87.864439,42.933418,-87.864375,417.1706577,0.003498421
70,110459348779, , ,S1400,43.163365,-87.90666,43.162914,-87.90552,125.3192152,0.001298606
71,110459348917, , ,S1400,43.163811,-87.889517,43.163799,-87.887781,154.4013949,0.001736042
72,110459346914,Woodbury Ct,M,S1400,42.904598,-88.007911,42.904805,-88.008484,57.02113509,0.000609245
73,110459346944,Amberidge Dr,M,S1400,42.912011,-87.967083,42.912342,-87.969652,234.7747226,0.002601765
74,110459348046,Lake Pointe Dr,M,S1400,42.890071,-88.009786,42.890221,-88.015764,543.7368137,0.00233951
75,110459348046,Lake Pointe Dr,M,S1400,42.890071,-88.009786,42.890221,-88.015764,543.7368137,0.003700521
76,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.001783051
77,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.003189359
